label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1207_2	d19_1203_3	15	0.527421	0.959331	0.699537	0.690913	0.708161	0.279977	41136
0.03	d11_1207_3	d19_1203_3	12	0.595464	0.951284	0.64922	0.639504	0.658936	0.267856	48144
0.03	d11_1207_4	d19_1203_3	9	0.54404	0.937135	0.662145	0.652531	0.671759	0.266978	42530
0.03	d11_1268_1	d19_1203_3	8	0.927322	0.945063	0.934534	0.931206	0.937861	0.556113	44580
0.03	d11_1268_2	d19_1203_3	5	0.94073	0.927502	0.934464	0.931133	0.937795	0.556378	54733
0.03	d11_1269_1	d19_1203_3	11	0.697575	0.941833	0.676297	0.667306	0.685288	0.259191	64168
0.03	d11_1269_2	d19_1203_3	9	0.642073	0.93718	0.674301	0.665143	0.683458	0.263687	54173
0.03	d11_1270_1	d19_1203_3	5	0.85652	0.94869	0.795896	0.789062	0.802731	0.394415	71787
0.03	d11_1270_2	d19_1203_3	7	0.729177	0.955879	0.798323	0.791537	0.805109	0.388631	38143
0.03	d11_1271_1	d19_1203_3	4	0.787733	0.938038	0.789546	0.782858	0.796234	0.392953	48439
0.03	d11_1271_2	d19_1203_3	5	0.802536	0.936903	0.802669	0.7964	0.808937	0.398593	52121
0.03	d19_1203_1	d19_1203_3	9	0.31643	0.964198	0.260597	0.246988	0.274206	0.121891	35496
0.03	d19_1203_2	d19_1203_3	13	0.577981	0.937309	0.352694	0.338662	0.366726	0.231085	35842
0.03	d11_1203_1	d19_1203_4	12	0.574174	0.954641	0.678007	0.669067	0.686946	0.274583	44807
0.03	d11_1203_2	d19_1203_4	13	0.5219	0.951336	0.692298	0.683531	0.701065	0.277575	40205
0.03	d11_1203_3	d19_1203_4	15	0.547694	0.958301	0.744482	0.736478	0.752486	0.296936	36493
0.03	d11_1203_4	d19_1203_4	11	0.547184	0.949986	0.693241	0.684494	0.701988	0.287376	42101
0.03	d11_1207_1	d19_1203_4	12	0.526286	0.94638	0.695869	0.686933	0.704805	0.299697	40193
